owner,repo,full_name,stargazers_count,subscribers_count,open_issues_count,forks_count,fork,html_url_repo,watchers_count,workflow_id,badge_url,html_url_run,run_conclusion,commit_message,commit_id
sbalci,okm,sbalci/okm,1,1,0,0,FALSE,https://github.com/sbalci/okm,NA,4745733,https://github.com/sbalci/okm/workflows/R/badge.svg,https://github.com/sbalci/okm/actions/runs/467199803,failure,Create r.yml,d190447b3b196cc62352e8046b172c243161d73d
sbalci,Pathology-Articles-from-Turkey,sbalci/Pathology-Articles-from-Turkey,1,1,0,0,FALSE,https://github.com/sbalci/Pathology-Articles-from-Turkey,NA,4745755,https://github.com/sbalci/Pathology-Articles-from-Turkey/workflows/R/badge.svg,https://github.com/sbalci/Pathology-Articles-from-Turkey/actions/runs/467201856,failure,Create r.yml,0e50e8bb0a54fed1002fd556586b1e795a1e64fc
sbalci,Pathology-Articles-from-Turkey,sbalci/Pathology-Articles-from-Turkey,1,1,0,0,FALSE,https://github.com/sbalci/Pathology-Articles-from-Turkey,NA,3968456,https://github.com/sbalci/Pathology-Articles-from-Turkey/workflows/tic/badge.svg,https://github.com/sbalci/Pathology-Articles-from-Turkey/actions/runs/471454887,success,CI added changes 2021-01-07 10:36:02,f6ffecb58a162c7972a833f20790a4219d5bcca1
sbalci,Pathology-Articles-from-Turkey,sbalci/Pathology-Articles-from-Turkey,1,1,0,0,FALSE,https://github.com/sbalci/Pathology-Articles-from-Turkey,NA,3968457,https://github.com/sbalci/Pathology-Articles-from-Turkey/workflows/Update%20tic/badge.svg,https://github.com/sbalci/Pathology-Articles-from-Turkey/actions/runs/399152714,failure,delete _site,e485c03eaa8e8fddafec629d7e27960203c5fbda
sbalci,patolojirapor,sbalci/patolojirapor,0,1,0,0,FALSE,https://github.com/sbalci/patolojirapor,NA,4745728,https://github.com/sbalci/patolojirapor/workflows/Jekyll%20site%20CI/badge.svg,https://github.com/sbalci/patolojirapor/actions/runs/467198959,success,Create jekyll.yml,49a13ad6fbee02a1a5edfb5ee88afeb72fd2943a
sbalci,pubmed,sbalci/pubmed,2,1,1,0,FALSE,https://github.com/sbalci/pubmed,NA,4745321,https://github.com/sbalci/pubmed/workflows/Jekyll%20site%20CI/badge.svg,https://github.com/sbalci/pubmed/actions/runs/467144788,success,Create jekyll.yml,8a8ebca68bbf2ce0b5c0d2acf526f545483fc0f4
sbalci,pubmedarticles,sbalci/pubmedarticles,1,1,0,0,FALSE,https://github.com/sbalci/pubmedarticles,NA,4745738,https://github.com/sbalci/pubmedarticles/workflows/R/badge.svg,https://github.com/sbalci/pubmedarticles/actions/runs/467200054,failure,Create r.yml,32e676e121ec4217c88c70e8874782e777971d56
sbalci,pubmedarticles,sbalci/pubmedarticles,1,1,0,0,FALSE,https://github.com/sbalci/pubmedarticles,NA,3568352,https://github.com/sbalci/pubmedarticles/workflows/tic/badge.svg,https://github.com/sbalci/pubmedarticles/actions/runs/471445726,success,CI added changes 2021-01-07 10:29:53,04759ea21c4797e33c7ccb59ed5b2c8fb0506a3a
sbalci,pubmedarticles,sbalci/pubmedarticles,1,1,0,0,FALSE,https://github.com/sbalci/pubmedarticles,NA,3568353,https://github.com/sbalci/pubmedarticles/workflows/.github/workflows/update-tic.yml/badge.svg,https://github.com/sbalci/pubmedarticles/actions/runs/467200025,failure,Create r.yml,32e676e121ec4217c88c70e8874782e777971d56
sbalci,sbalci,sbalci/sbalci,0,1,0,0,FALSE,https://github.com/sbalci/sbalci,NA,NA,NA,NA,NA,NA,NA
sbalci,sbalci.github.io,sbalci/sbalci.github.io,1,1,0,0,FALSE,https://github.com/sbalci/sbalci.github.io,NA,286566,https://github.com/sbalci/sbalci.github.io/workflows/Jekyll%20site%20CI/badge.svg,https://github.com/sbalci/sbalci.github.io/actions/runs/26309119,failure,Delete .gitignore,2ad52209f63a0c58e114d0e9b8b7c5874a78f6af
